alpha,L1,L2,L3,e1,e2,e3
0.641,-0.20032225291403183,1.1463582036750688,-1.2424298671076013,3.007606816316292,0.39383281287430233,0.01984294395878116
0.642,-0.20176190403638694,1.145971090580455,-1.2426978529973258,2.9917416964673276,0.3945747987085788,0.01995830840364988
0.643,-0.2032019809921497,1.1455837774041784,-1.2429650509435517,2.976098826299646,0.3953172481908261,0.020074269750524266
0.644,-0.20464248770588456,1.1451962650999028,-1.2432314565907236,2.960673569843169,0.39606016174759895,0.020190831409177695
0.645,-0.2060834281248335,1.1448085546175637,-1.2434970655510331,2.9454614189920783,0.3968035398055684,0.020307996816845357
0.646,-0.20752480621919922,1.1444206469033866,-1.243761873404094,2.93045798912557,0.39754738279152424,0.020425769438519103
0.647,-0.20896662598243654,1.144032542899908,-1.2440258756965805,2.9156590149072863,0.39829169113237717,0.02054415276727437
0.648,-0.21040889143154273,1.1436442435459981,-1.244289067941911,2.901060346255098,0.39903646525515596,0.02066315032455895
0.649,-0.21185160660735125,1.1432557497768836,-1.2445514456198792,2.8866579444731646,0.39978170558700576,0.02078276566052656
0.65,-0.21329477557483723,1.1428670625241608,-1.244813004176323,2.872447878538633,0.4005274125551975,0.020903002354339704
0.651,-0.21473840242341447,1.1424781827158235,-1.2450737390227562,2.8584263215359997,0.4012735865871197,0.021023864014503502
0.652,-0.21618249126724565,1.1420891112762783,-1.2453336455360051,2.8445895472321174,0.40202022811028476,0.021145354279196022
0.653,-0.21762704624555262,1.1416998491263701,-1.2455927190578628,2.8309339267855638,0.4027673375523227,0.021267476816585265
0.654,-0.21907207152293073,1.1413103971833953,-1.245850954894696,2.817455925584194,0.40351491534099043,0.02139023532518494
0.655,-0.22051757128966665,1.1409207563611268,-1.246108348317075,2.8041521002051155,0.40426296190416555,0.021513633534192732
0.656,-0.22196354976206345,1.1405309275698325,-1.2463648945594072,2.791019095491563,0.4050114776698479,0.021637675203825067
0.657,-0.22341001118276704,1.1401409117162926,-1.246620588819535,2.7780536417414896,0.4057604630661642,0.021762364125683813
0.658,-0.224856959821094,1.1397507097038249,-1.246875426258363,2.765252552002953,0.40650991852135965,0.02188770412309713
0.659,-0.22630439997337126,1.1393603224322932,-1.247129401999428,2.7526127194714793,0.4072598444638125,0.022013699051510325
0.66,-0.2277523359632736,1.13896975079814,-1.2473825111285506,2.7401311149850955,0.40801024132201874,0.022140352798808223
0.661,-0.22920077214216827,1.138578995694394,-1.2476347486933723,2.727804784612664,0.40876110952460487,0.022267669285734412
0.662,-0.23064971288946345,1.1381880580106958,-1.2478861097029812,2.7156308473315574,0.40951244950032123,0.02239565246623677
